Character	Events
Nick Fury	Maximum Security
Nick Fury	Secret Invasion
Nick Fury	Shattered Heroes
Nick Fury	Siege
The Initiative	Initiative
The Initiative	World War Hulk
Skin	Age of Apocalypse
Kang	Crossing
Kang	Inferno
Titanium Man (Topolov)	Armor Wars
Ares	Chaos War
Ares	Dark Reign
Ares	Initiative
Ares	Secret Invasion
Cosmo	The Thanos Imperative
S.H.I.E.L.D.	Civil War
Arclight	Inferno
Arclight	Mutant Massacre
Arclight	Siege
Puppet Master	Infinity War
Vision	Avengers VS X-Men
Vision	Chaos War
Vision	Civil War
Vision	Dark Reign
Vision	Infinity Gauntlet
Vision	Infinity War
Vision	Maximum Security
Vision	Onslaught
Vision	Secret Wars
Vision	Secret Wars II
Vision	Siege
Black Widow	Avengers VS X-Men
Black Widow	Chaos War
Black Widow	Fear Itself
Black Widow	Initiative
Black Widow	Onslaught
Black Widow	Secret Invasion
Black Widow	Secret Wars
Black Widow	Shattered Heroes
Taskmaster	Dark Reign
Taskmaster	Fear Itself
Taskmaster	Secret Invasion
Taskmaster	Shattered Heroes
Taskmaster	Siege
(u"Frankenstein's Monster",)	Fear Itself
Caretaker	Siege of Darkness
Eternity	Blood and Thunder
(u"Ch'od",)	Maximum Security
(u"Ch'od",)	Secret Wars II
Kat Farrell	Initiative
Excalibur	Avengers Disassembled
Excalibur	Fatal Attractions
Excalibur	House of M
Excalibur	Inferno
Excalibur	Onslaught
Bengal	Dark Reign
Bengal	Secret Invasion
Bengal	Siege
Loa	Fear Itself
Slapstick	Dark Reign
Slapstick	Siege
Komodo (Melati Kusuma)	Dark Reign
Komodo (Melati Kusuma)	Initiative
Komodo (Melati Kusuma)	Secret Invasion
Dog Brother #1	Fear Itself
Hydra	Dark Reign
Mimic	House of M
Shard	Onslaught
Risque	Onslaught
Jocasta	Dark Reign
Jocasta	Fear Itself
Jocasta	Secret Invasion
Jocasta	Shattered Heroes
Jocasta	Siege
Generation X	Onslaught
Gateway	Atlantis Attacks
Gateway	Evolutionary War
Gateway	Onslaught
Nighthawk	Fear Itself
Destiny	Age of Apocalypse
Destiny	Fall of the Mutants
Destiny	Mutant Massacre
Destiny	Secret Wars
Norman Osborn	Dark Reign
Norman Osborn	House of M
Norman Osborn	Initiative
Norman Osborn	Secret Invasion
Norman Osborn	Shattered Heroes
Norman Osborn	Siege
Firestar	Acts of Vengeance!
Firestar	Fear Itself
Firestar	Kings of Pain
Firestar	Spider-Island
Reptil	Fear Itself
Reptil	Shattered Heroes
War (Abraham Kieros)	Age of Apocalypse
War (Abraham Kieros)	Fall of the Mutants
Kingpin	Acts of Vengeance!
Kingpin	Civil War
Kingpin	Secret Wars II
Kingpin	Spider-Island
Emplate	Age of Apocalypse
Mole Man	Initiative
Cloak	Civil War
Cloak	Dark Reign
Cloak	Spider-Island
Sabretooth (Age of Apocalypse)	House of M
Guardians of the Galaxy	Realm of Kings
Guardians of the Galaxy	Secret Invasion
Guardians of the Galaxy	The Thanos Imperative
Guardians of the Galaxy	War of Kings
Archangel	Acts of Vengeance!
Archangel	Age of Apocalypse
Archangel	Atlantis Attacks
Archangel	Days of Future Present
Archangel	Evolutionary War
Archangel	Fall of the Mutants
Archangel	Fatal Attractions
Archangel	Inferno
Archangel	Infinity War
Archangel	Kings of Pain
Archangel	Messiah CompleX
Archangel	Messiah War
Archangel	Mutant Massacre
Archangel	Onslaught
Archangel	War of Kings
Archangel	World War Hulk
Archangel	X-Tinction Agenda
Sin	Fear Itself
Sin	Initiative
Sin	Shattered Heroes
Aurora	Age of Apocalypse
Aurora	Chaos War
Aurora	Fear Itself
Aurora	Infinity War
Beast	Acts of Vengeance!
Beast	Age of Apocalypse
Beast	Atlantis Attacks
Beast	Avengers VS X-Men
Beast	Chaos War
Beast	Civil War
Beast	Days of Future Present
Beast	Enemy of the State
Beast	Evolutionary War
Beast	Fall of the Mutants
Beast	Fatal Attractions
Beast	Fear Itself
Beast	Inferno
Beast	Infinity War
Beast	Kings of Pain
Beast	Maximum Security
Beast	Messiah CompleX
Beast	Mutant Massacre
Beast	Onslaught
Beast	Siege
Raza	Maximum Security
Raza	Secret Wars II
Spider-Girl (Anya Corazon)	Spider-Island
Magneto (Age of Apocalypse)	Age of Apocalypse
Magneto (Age of Apocalypse)	Age of X
Venom (Mac Gargan)	Chaos War
Venom (Mac Gargan)	Civil War
Venom (Mac Gargan)	Dark Reign
Venom (Mac Gargan)	Initiative
Venom (Mac Gargan)	Spider-Island
Mercury	Messiah CompleX
Falcon	Civil War
Falcon	Fear Itself
Falcon	Infinity War
Falcon	Initiative
Falcon	Onslaught
Speed	Dark Reign
Hawkeye (Kate Bishop)	Civil War
Hawkeye (Kate Bishop)	Dark Reign
Hawkeye (Kate Bishop)	Siege
Hawkeye	Armor Wars
Hawkeye	Avengers Disassembled
Hawkeye	Avengers VS X-Men
Hawkeye	Chaos War
Hawkeye	Crossing
Hawkeye	Dark Reign
Hawkeye	Evolutionary War
Hawkeye	Fear Itself
Hawkeye	House of M
Hawkeye	Maximum Security
Hawkeye	Onslaught
Hawkeye	Secret Wars
Hawkeye	Shattered Heroes
Hawkeye	Spider-Island
Exiles	House of M
Onslaught	Onslaught
Sunspot	Age of Apocalypse
Sunspot	Atlantis Attacks
Sunspot	Days of Future Present
Sunspot	Fatal Attractions
Sunspot	Fear Itself
Sunspot	Mutant Massacre
Sunspot	Onslaught
Sunspot	Secret Wars II
Sunspot	X-Men: Regenesis
Sunspot	X-Tinction Agenda
Wong	Acts of Vengeance!
Wong	Infinity Gauntlet
Wong	Infinity War
Wong	Siege of Darkness
Rictor	Age of Apocalypse
Rictor	Atlantis Attacks
Rictor	Evolutionary War
Rictor	Fatal Attractions
Rictor	X-Tinction Agenda
Longshot	Atlantis Attacks
Longshot	Days of Future Present
Longshot	Evolutionary War
Longshot	Fall of the Mutants
Longshot	Inferno
Wonder Man	Armor Wars
Wonder Man	Evolutionary War
Wonder Man	Infinity War
Wonder Man	Initiative
Wonder Man	Maximum Security
Wonder Man	Secret Invasion
Wonder Man	Secret Wars II
Thunderbird (Neal Shaara)	Maximum Security
Spider-Woman (Jessica Drew)	Avengers VS X-Men
Spider-Woman (Jessica Drew)	Civil War
Spider-Woman (Jessica Drew)	Dark Reign
Spider-Woman (Jessica Drew)	Fear Itself
Spider-Woman (Jessica Drew)	Initiative
Spider-Woman (Jessica Drew)	Secret Invasion
Spider-Woman (Jessica Drew)	Spider-Island
Justice	Dark Reign
Justice	Fear Itself
Justice	Shattered Heroes
Justice	Siege
(u"Tiger's Beautiful Daughter",)	Fear Itself
Sersi	Fear Itself
Post	Onslaught
Moondragon	Annihilation: Conquest
Moondragon	Blood and Thunder
Vanisher (Telford Porter)	Messiah War
Black Bolt	Civil War
Black Bolt	Secret Invasion
Black Bolt	War of Kings
Black Bolt	World War Hulk
Thunderbolts	Civil War
Thunderbolts	Dark Reign
Thunderbolts	Fear Itself
Thunderbolts	Initiative
Thunderbolts	Maximum Security
Thunderbolts	Secret Invasion
Thunderbolts	Shadowland
Thunderbolts	Siege
Hercules	Chaos War
Hercules	Dark Reign
Hercules	Fear Itself
Hercules	Infinity Gauntlet
Hercules	Infinity War
Hercules	Maximum Security
Hercules	Secret Wars II
Hercules	Siege
Hercules	Spider-Island
Hercules	World War Hulk
Red She-Hulk	Chaos War
Red She-Hulk	Fear Itself
Exodus	Age of Apocalypse
Exodus	Fatal Attractions
Exodus	X-Men: Regenesis
The Order	Initiative
Gamora	Annihilation: Conquest
Gamora	Blood and Thunder
Gamora	The Thanos Imperative
Daredevil	Acts of Vengeance!
Daredevil	Civil War
Daredevil	Fall of the Mutants
Daredevil	Fear Itself
Daredevil	Inferno
Daredevil	Infinity War
Daredevil	Maximum Security
Daredevil	Mutant Massacre
Daredevil	Secret Invasion
Daredevil	Secret Wars II
Daredevil	Shadowland
Odin	Blood and Thunder
Odin	Fear Itself
Odin	Maximum Security
Odin	Onslaught
Odin	Shattered Heroes
Doctor Strange	Acts of Vengeance!
Doctor Strange	Avengers VS X-Men
Doctor Strange	Chaos War
Doctor Strange	Civil War
Doctor Strange	Fear Itself
Doctor Strange	Infinity Gauntlet
Doctor Strange	Infinity War
Doctor Strange	Onslaught
Doctor Strange	Secret Invasion
Doctor Strange	Secret Wars II
Doctor Strange	Siege of Darkness
Doctor Strange	World War Hulk
Madrox	Messiah CompleX
Layla Miller	Messiah CompleX
Layla Miller	Secret Invasion
Fantastic Four	Acts of Vengeance!
Fantastic Four	Atlantis Attacks
Fantastic Four	Avengers Disassembled
Fantastic Four	Chaos War
Fantastic Four	Civil War
Fantastic Four	Dark Reign
Fantastic Four	Days of Future Present
Fantastic Four	Evolutionary War
Fantastic Four	Fall of the Mutants
Fantastic Four	Fear Itself
Fantastic Four	Heroic Age
Fantastic Four	House of M
Fantastic Four	Inferno
Fantastic Four	Infinity War
Fantastic Four	Initiative
Fantastic Four	Onslaught
Fantastic Four	Secret Invasion
Fantastic Four	Secret Wars
Fantastic Four	Secret Wars II
Fantastic Four	The Thanos Imperative
Squirrel Girl	Fear Itself
Hardball	Dark Reign
Hardball	Fear Itself
Hardball	Secret Invasion
Hardball	World War Hulk
Deathcry	Annihilation: Conquest
Deathcry	Chaos War
Ant-Man (Eric O Grady)	Dark Reign
Ant-Man (Eric O Grady)	Fear Itself
Ant-Man (Eric O Grady)	Secret Invasion
Ant-Man (Eric O Grady)	Shattered Heroes
Ant-Man (Eric O Grady)	Siege
Ant-Man (Eric O Grady)	World War Hulk
Venom (Flash Thompson)	Spider-Island
Avengers	Acts of Vengeance!
Avengers	Age of X
Avengers	Atlantis Attacks
Avengers	Avengers Disassembled
Avengers	Avengers VS X-Men
Avengers	Chaos War
Avengers	Crossing
Avengers	Dark Reign
Avengers	Evolutionary War
Avengers	Fear Itself
Avengers	Inferno
Avengers	Infinity War
Avengers	Initiative
Avengers	Maximum Security
Avengers	Onslaught
Avengers	Secret Invasion
Avengers	Secret Wars
Avengers	Secret Wars II
Avengers	Shattered Heroes
Avengers	Siege
Doctor Doom	Acts of Vengeance!
Doctor Doom	Atlantis Attacks
Doctor Doom	Dark Reign
Doctor Doom	Fall of the Mutants
Doctor Doom	House of M
Doctor Doom	Infinity Gauntlet
Doctor Doom	Onslaught
Doctor Doom	Secret Wars
Doctor Doom	Secret Wars II
Luke Cage	Avengers VS X-Men
Luke Cage	Chaos War
Luke Cage	Civil War
Luke Cage	Fear Itself
Luke Cage	Secret Wars II
Luke Cage	Shattered Heroes
Luke Cage	Spider-Island
Baron Strucker	Dark Reign
Constrictor	Acts of Vengeance!
Constrictor	Dark Reign
Constrictor	Secret Invasion
Constrictor	Siege
Constrictor	World War Hulk
Cloud 9	Fear Itself
Cloud 9	Secret Invasion
Husk	Age of Apocalypse
Husk	Onslaught
Thor	Acts of Vengeance!
Thor	Atlantis Attacks
Thor	Avengers Disassembled
Thor	Avengers VS X-Men
Thor	Blood and Thunder
Thor	Chaos War
Thor	Civil War
Thor	Dark Reign
Thor	Evolutionary War
Thor	Fear Itself
Thor	Infinity Gauntlet
Thor	Infinity War
Thor	Maximum Security
Thor	Mutant Massacre
Thor	Onslaught
Thor	Secret Invasion
Thor	Secret Wars
Thor	Secret Wars II
Thor	Shattered Heroes
Thor	Siege
Northstar	Age of Apocalypse
Northstar	Chaos War
Northstar	Fear Itself
Northstar	Infinity War
Northstar	X-Men: Schism
Gorgon	Acts of Vengeance!
Gorgon	Dark Reign
Gorgon	Enemy of the State
Gideon	Kings of Pain
Misty Knight	Civil War
Misty Knight	Fear Itself
Misty Knight	Shadowland
Misty Knight	Spider-Island
Misty Knight	World War Hulk
Moonstone	Dark Reign
Moonstone	Fear Itself
Moonstone	Maximum Security
Moonstone	Siege
Unus	Age of Apocalypse
Morlun	Other - Evolve or Die
Jackal	Spider-Island
Prodigy	Dark Reign
Prodigy	Fear Itself
Prodigy	Messiah CompleX
Warpath	Age of Apocalypse
Warpath	Fatal Attractions
Warpath	Kings of Pain
Warpath	Messiah War
Warpath	Onslaught
Magik (Amanda Sefton)	Fear Itself
Magik (Amanda Sefton)	House of M
Prince of Orphans	Fear Itself
Namorita	Acts of Vengeance!
Namorita	Atlantis Attacks
Namorita	Infinity War
Namorita	Kings of Pain
Namorita	Maximum Security
Sentry (Robert Reynolds)	Chaos War
Sentry (Robert Reynolds)	Civil War
Sentry (Robert Reynolds)	Dark Reign
Sentry (Robert Reynolds)	Initiative
Sentry (Robert Reynolds)	Secret Invasion
Sentry (Robert Reynolds)	Siege
Sentry (Robert Reynolds)	World War Hulk
Bride of Nine Spiders (Immortal Weapons)	Fear Itself
Beta-Ray Bill	Secret Invasion
Beta-Ray Bill	The Thanos Imperative
Lily Hollister	Dark Reign
Firelord	Infinity Gauntlet
Captain Marvel (Carol Danvers)	Acts of Vengeance!
Captain Marvel (Carol Danvers)	Avengers VS X-Men
Captain Marvel (Carol Danvers)	Civil War
Captain Marvel (Carol Danvers)	Dark Reign
Captain Marvel (Carol Danvers)	Days of Future Present
Captain Marvel (Carol Danvers)	Fall of the Mutants
Captain Marvel (Carol Danvers)	Fear Itself
Captain Marvel (Carol Danvers)	Inferno
Captain Marvel (Carol Danvers)	Initiative
Captain Marvel (Carol Danvers)	Marvel NOW!
Captain Marvel (Carol Danvers)	Maximum Security
Captain Marvel (Carol Danvers)	Secret Invasion
Captain Marvel (Carol Danvers)	Spider-Island
Captain Marvel (Carol Danvers)	World War Hulk
Psylocke	Acts of Vengeance!
Psylocke	Age of Apocalypse
Psylocke	Atlantis Attacks
Psylocke	Days of Future Present
Psylocke	Evolutionary War
Psylocke	Fall of the Mutants
Psylocke	Fatal Attractions
Psylocke	Inferno
Psylocke	Infinity War
Psylocke	Maximum Security
Psylocke	Messiah CompleX
Psylocke	Mutant Massacre
Psylocke	Onslaught
Psylocke	X-Men: Schism
Psylocke	X-Tinction Agenda
X-Men	Acts of Vengeance!
X-Men	Age of Apocalypse
X-Men	Age of X
X-Men	Atlantis Attacks
X-Men	Avengers VS X-Men
X-Men	Chaos War
X-Men	Civil War
X-Men	Dark Reign
X-Men	Days of Future Present
X-Men	Enemy of the State
X-Men	Evolutionary War
X-Men	Fall of the Mutants
X-Men	Fatal Attractions
X-Men	Fear Itself
X-Men	House of M
X-Men	Inferno
X-Men	Infinity War
X-Men	Kings of Pain
X-Men	Maximum Security
X-Men	Messiah CompleX
Banshee	Acts of Vengeance!
Banshee	Age of Apocalypse
Banshee	Chaos War
Banshee	Days of Future Present
Banshee	Fatal Attractions
Banshee	Messiah CompleX
Banshee	Onslaught
Banshee	X-Tinction Agenda
Wild Child	Age of Apocalypse
Cyclops	Acts of Vengeance!
Cyclops	Age of Apocalypse
Cyclops	Age of X
Cyclops	Atlantis Attacks
Cyclops	Avengers VS X-Men
Cyclops	Civil War
Cyclops	Days of Future Present
Cyclops	Enemy of the State
Cyclops	Evolutionary War
Cyclops	Fall of the Mutants
Cyclops	Fatal Attractions
Cyclops	Fear Itself
Cyclops	Inferno
Cyclops	Infinity War
Cyclops	Kings of Pain
Cyclops	Messiah CompleX
Cyclops	Mutant Massacre
Cyclops	Onslaught
Cyclops	Secret Wars
Cyclops	Secret Wars II
Typhoid Mary	Dark Reign
Gladiator (Kallark)	Maximum Security
Gladiator (Kallark)	The Thanos Imperative
Magma (Amara Aquilla)	Fear Itself
Magma (Amara Aquilla)	Mutant Massacre
Magma (Amara Aquilla)	X-Men: Regenesis
Fat Cobra	Fear Itself
Black Cat	Civil War
Black Cat	Initiative
Black Cat	Maximum Carnage
Black Cat	World War Hulk
Rage	Dark Reign
Rage	Initiative
Rage	Siege
Rage	World War Hulk
Ghost Rider (Johnny Blaze)	Age of X
Ghost Rider (Johnny Blaze)	Civil War
Ghost Rider (Johnny Blaze)	Fear Itself
Ghost Rider (Johnny Blaze)	Shadowland
Ghost Rider (Johnny Blaze)	Siege of Darkness
Ghost Rider (Johnny Blaze)	World War Hulk
Foggy Nelson	Fear Itself
Dani Moonstar	Fear Itself
Dani Moonstar	House of M
Dani Moonstar	Secret Wars II
Stick	Onslaught
Menace	Dark Reign
Boom Boom	Atlantis Attacks
Boom Boom	Days of Future Present
Boom Boom	Evolutionary War
Boom Boom	Kings of Pain
Boom Boom	Mutant Massacre
Boom Boom	X-Tinction Agenda
Deathbird	Chaos War
Deathbird	Maximum Security
Toro (Thomas Raymond)	House of M
Wasp	Avengers Disassembled
Wasp	Civil War
Wasp	Dark Reign
Wasp	Fear Itself
Wasp	Infinity War
Wasp	Initiative
Wasp	Maximum Security
Wasp	Onslaught
Wasp	Secret Invasion
Wasp	Secret Wars
Wasp	Secret Wars II
Silhouette	Kings of Pain
Joseph	Onslaught
Thundra	Dark Reign
Arachne	Spider-Island
Crimson Dynamo	Armor Wars
Boomer	Age of Apocalypse
Boomer	Fatal Attractions
Defenders	Fear Itself
Defenders	Secret Wars II
Celestials	Atlantis Attacks
Celestials	X-Men: Regenesis
Rick Jones	Chaos War
Rick Jones	Initiative
Absorbing Man	Fear Itself
Absorbing Man	Secret Wars
Absorbing Man	Shattered Heroes
Absorbing Man	Siege
Mach IV	Fear Itself
Captain America (House of M)	House of M
Cable	Age of Apocalypse
Cable	Avengers VS X-Men
Cable	Civil War
Cable	Days of Future Present
Cable	Fatal Attractions
Cable	Kings of Pain
Cable	Maximum Security
Cable	Messiah CompleX
Cable	Messiah War
Cable	Onslaught
Cable	X-Men: Second Coming
Cable	X-Tinction Agenda
Dum Dum Dugan	Dark Reign
Dum Dum Dugan	Onslaught
Dum Dum Dugan	Secret Invasion
Gambit	Age of Apocalypse
Gambit	Age of X
Gambit	Avengers VS X-Men
Gambit	Fatal Attractions
Gambit	Maximum Security
Gambit	Messiah CompleX
Gambit	Onslaught
Gambit	Siege
Gambit	X-Men: Schism
Gambit	X-Tinction Agenda
Captain Universe	Annihilation: Conquest
Warstar	Maximum Security
Thor Girl	Dark Reign
Thor Girl	Fear Itself
Thor Girl	Secret Invasion
Professor X	Age of Apocalypse
Professor X	Age of X
Professor X	Civil War
Professor X	Evolutionary War
Professor X	Fatal Attractions
Professor X	Inferno
Professor X	Infinity War
Professor X	Maximum Security
Professor X	Messiah CompleX
Professor X	Onslaught
Professor X	Secret Invasion
Professor X	Secret Wars
Professor X	Secret Wars II
Professor X	World War Hulk
Professor X	X-Men: Schism
Blastaar	Annihilation: Conquest
Songbird	Fear Itself
Songbird	Initiative
Captain Marvel (Mar-Vell)	Chaos War
Captain Marvel (Mar-Vell)	Maximum Security
Captain Marvel (Mar-Vell)	Secret Invasion
Captain Marvel (Mar-Vell)	Secret Wars
Captain Marvel (Mar-Vell)	Secret Wars II
Crossbones	Fear Itself
Crossbones	Shattered Heroes
Black Panther	Civil War
Black Panther	Dark Reign
Black Panther	Fall of the Mutants
Black Panther	Fear Itself
Black Panther	House of M
Black Panther	Initiative
Black Panther	Maximum Security
Black Panther	Onslaught
Black Panther	Other - Evolve or Die
Black Panther	Secret Invasion
Black Panther	Spider-Island
Black Panther	World War Hulk
Captain Britain	Avengers VS X-Men
Captain Britain	Fatal Attractions
Captain Britain	Kings of Pain
Captain Britain	Onslaught
Domino	Age of Apocalypse
Domino	Civil War
Domino	Kings of Pain
Domino	Messiah War
Domino	Onslaught
Shatterstar	Age of Apocalypse
Shatterstar	Civil War
Shatterstar	Fatal Attractions
Shatterstar	Kings of Pain
Shatterstar	Onslaught
Spider-Man	Acts of Vengeance!
Spider-Man	Atlantis Attacks
Spider-Man	Avengers Disassembled
Spider-Man	Avengers VS X-Men
Spider-Man	Chaos War
Spider-Man	Civil War
Spider-Man	Dark Reign
Spider-Man	Days of Future Present
Spider-Man	Evolutionary War
Spider-Man	Fear Itself
Spider-Man	House of M
Spider-Man	Inferno
Spider-Man	Infinity Gauntlet
Spider-Man	Initiative
Spider-Man	Kraven's Last Hunt
Spider-Man	Maximum Carnage
Spider-Man	Maximum Security
Spider-Man	Onslaught
Spider-Man	Other - Evolve or Die
Spider-Man	Secret Invasion
Hussar	Maximum Security
Punisher	Acts of Vengeance!
Punisher	Atlantis Attacks
Punisher	Civil War
Punisher	Dark Reign
Punisher	Initiative
Punisher	Maximum Security
Punisher	Onslaught
Punisher	World War Hulk
Punisher	X-Tinction Agenda
Heroes For Hire	Civil War
Heroes For Hire	Fear Itself
Heroes For Hire	World War Hulk
Toxin (Eddie Brock)	Maximum Carnage
Toxin (Eddie Brock)	Spider-Island
Eternals	Atlantis Attacks
Iceman	Acts of Vengeance!
Iceman	Age of Apocalypse
Iceman	Atlantis Attacks
Iceman	Civil War
Iceman	Days of Future Present
Iceman	Evolutionary War
Iceman	Fall of the Mutants
Iceman	Fatal Attractions
Iceman	Inferno
Iceman	Kings of Pain
Iceman	Messiah CompleX
Iceman	Mutant Massacre
Iceman	Onslaught
Iceman	World War Hulk
Iceman	X-Men: Regenesis
Iceman	X-Men: Schism
Iceman	X-Tinction Agenda
Shocker (Herman Schultz)	Initiative
Shocker (Herman Schultz)	Spider-Island
Surge	Messiah CompleX
Hulkling	Civil War
Hulkling	Dark Reign
Hulkling	Siege
Doop	Marvel NOW!
Shalla-bal	Infinity Gauntlet
Calypso	Infinity War
Ronan the Accuser	Annihilation
Ronan the Accuser	Annihilation: Conquest
Ronan the Accuser	The Thanos Imperative
J. Jonah Jameson	Atlantis Attacks
J. Jonah Jameson	Dark Reign
J. Jonah Jameson	House of M
J. Jonah Jameson	Initiative
J. Jonah Jameson	Spider-Island
Sinister Six	Fear Itself
X-Force	Age of Apocalypse
X-Force	Fatal Attractions
X-Force	Fear Itself
X-Force	Messiah CompleX
X-Force	Messiah War
X-Force	Onslaught
X-Force	X-Men: Second Coming
Serpent Society	Acts of Vengeance!
Serpent Society	Armor Wars
Serpent Society	Fear Itself
Crystal	Evolutionary War
Crystal	Fall of the Mutants
Crystal	Onslaught
Crystal	War of Kings
Shriek	Maximum Carnage
Mephisto	Infinity Gauntlet
Mephisto	Shattered Heroes
