Character	Comics
She-Hulk (Jennifer Walters)	Avengers (1998) #32
She-Hulk (Jennifer Walters)	Avengers (1998) #34
Dragon Lord	Essential Ghost Rider Vol. 1 (Trade Paperback)
Dragon Lord	Marvel Spotlight (1979) #5
Beetle	Fantastic Four (1961) #330
Beetle	Fantastic Four (1961) #334
Beetle	Fantastic Four Visionaries: Walter Simonson Vol. 1 (Trade Paperback)
Beetle	Iron Man (1998) #55
Beetle	Iron Man (1968) #229
Beetle	Iron Man (1968) #285
Beetle	Iron Man: Armor Wars (Trade Paperback)
Beetle	Marvel Two-in-One (1974) #96
Beetle	Peter Parker, the Spectacular Spider-Man (1976) #16
Beetle	Peter Parker, the Spectacular Spider-Man (1976) #59
Beetle	Peter Parker, the Spectacular Spider-Man (1976) #164
Beetle	Thunderbolts (1997) #35
Beetle	Webspinners: Tales of Spider-Man (1999) #17
Triathlon	Avengers (1998) #8
Triathlon	Avengers (1998) #9
Triathlon	Avengers (1998) #15
Triathlon	Avengers (1998) #26
Triathlon	Avengers (1998) #27
Triathlon	Avengers (1998) #28
Triathlon	Avengers (1998) #29
Triathlon	Avengers (1998) #30
Triathlon	Avengers (1998) #31
Triathlon	Avengers (1998) #32
Triathlon	Avengers (1998) #33
Triathlon	Avengers (1998) #34
Triathlon	Avengers (1998) #35
Triathlon	Avengers (1998) #36
Triathlon	Avengers (1998) #37
Triathlon	Avengers (1998) #38
Triathlon	Avengers (1998) #39
Triathlon	Avengers (1998) #40
Triathlon	Avengers (1998) #41
Triathlon	Avengers (1998) #42
High Evolutionary	Amazing Spider-Man Annual (1964) #22
High Evolutionary	Annihilation: Conquest (2007) #1
High Evolutionary	Annihilation: Conquest (2007) #2
High Evolutionary	Annihilation: Conquest (2007) #3
High Evolutionary	Annihilation: Conquest (2007) #4
High Evolutionary	Annihilation: Conquest (2007) #5
High Evolutionary	Annihilation: Conquest (2007) #6
High Evolutionary	Avengers (1963) #186
High Evolutionary	Avengers Annual (1967) #17
High Evolutionary	Essential Spider-Woman Vol.1 (Trade Paperback)
High Evolutionary	Fantastic Four Annual (1963) #21
High Evolutionary	Iron Man/Thor (2010) #3
High Evolutionary	Iron Man/Thor (2010) #4
High Evolutionary	Marvel Masterworks: The Incredible Hulk Vol.3 (Hardcover)
High Evolutionary	Spider-Woman (1978) #1
High Evolutionary	Tales to Astonish (1959) #95
High Evolutionary	Thor (1966) #450
High Evolutionary	Thor: Black Galaxy Saga TPB (Trade Paperback)
High Evolutionary	West Coast Avengers Annual (1986) #3
High Evolutionary	What If? (1989) #1
Cobalt Man	Uncanny X-Men (1963) #79
Goliath (Bill Foster)	Avengers (1963) #98
Goliath (Bill Foster)	Black Panther (2005) #18
Goliath (Bill Foster)	Black Panther (2005) #18 (TURNER VARIANT)
Goliath (Bill Foster)	Black Panther: The Bride (Trade Paperback)
Goliath (Bill Foster)	Civil War (2006) #1
Goliath (Bill Foster)	Civil War (2006) #1 (Turner Variant)
Goliath (Bill Foster)	Civil War (2006) #1 (sketch variant)
Goliath (Bill Foster)	Civil War: Front Line (2006) #1
Goliath (Bill Foster)	New Avengers Annual (2010) #1
Maria Hill	Age of Heroes (Trade Paperback)
Maria Hill	Invincible Iron Man (2008) #1
Maria Hill	Invincible Iron Man (2008) #3
Maria Hill	Invincible Iron Man (2008) #4
Maria Hill	Invincible Iron Man (2008) #5
Maria Hill	Invincible Iron Man (2008) #6
Maria Hill	Invincible Iron Man (2008) #25 (IRON MAN BY DESIGN VARIANT)
Maria Hill	Invincible Iron Man (2008) #25 (TRIMPE VARIANT)
Maria Hill	Invincible Iron Man (2008) #25 (2ND PRINTING VARIANT)
Maria Hill	Invincible Iron Man (2008) #25 (MOVIE VARIANT)
Maria Hill	Invincible Iron Man Vol. 1: The Five Nightmares (Trade Paperback)
Maria Hill	Mighty Avengers (2007) #3
Maria Hill	Mighty Avengers (2007) #7
Maria Hill	Mighty Avengers (2007) #8
Maria Hill	Mighty Avengers (2007) #11
Maria Hill	Mighty Avengers (2007) #12
Maria Hill	Mighty Avengers (2007) #18
Maria Hill	Mighty Avengers Vol. 1: The Ultron Initiative (Trade Paperback)
Maria Hill	New Avengers (2004) #4
Maria Hill	New Avengers (2004) #6
Ben Urich	Alias (2003) #10
Ben Urich	Alias Omnibus (Hardcover)
Ben Urich	Amazing Spider-Man (1999) #608
Ben Urich	Amazing Spider-Man Annual (1964) #15
Ben Urich	Amazing Spider-Man Annual (1964) #16
Ben Urich	Daredevil (1998) #16
Ben Urich	Daredevil (1998) #17
Ben Urich	Daredevil Vol. III: Wake Up (Trade Paperback)
Ben Urich	Mighty Avengers (2007) #4
Ben Urich	Mighty Avengers Vol. 1: The Ultron Initiative (Trade Paperback)
Ben Urich	Venom: Lethal Protector (1993) #1
Doctor Spectrum	Avengers (1963) #86
Doctor Spectrum	Doctor Spectrum (2004) #1
Doctor Spectrum	Doctor Spectrum (2004) #2
Doctor Spectrum	Doctor Spectrum (2004) #3
Doctor Spectrum	Doctor Spectrum (2004) #4
Doctor Spectrum	Doctor Spectrum (2004) #5
Doctor Spectrum	Doctor Spectrum (2004) #6
Doctor Spectrum	Squadron Supreme (2006) #1
Doctor Spectrum	Squadron Supreme (2006) #2
Doctor Spectrum	Squadron Supreme Vol. 1: The Pre-War Years Premiere (Hardcover)
Doctor Spectrum	Supreme Power (2010) #1
Doctor Spectrum	Supreme Power (2010) #2
Doctor Spectrum	Supreme Power (2010) #4
Killraven	Amazing Adventures (1970) #18
Killraven	Amazing Adventures (1970) #19
Killraven	Amazing Adventures (1970) #20
Killraven	Amazing Adventures (1970) #21
Killraven	Amazing Adventures (1970) #22
Killraven	Amazing Adventures (1970) #23
Killraven	Amazing Adventures (1970) #24
Killraven	Amazing Adventures (1970) #25
Killraven	Amazing Adventures (1970) #26
Killraven	Amazing Adventures (1970) #27
Killraven	Amazing Adventures (1970) #28
Killraven	Amazing Adventures (1970) #29
Killraven	Amazing Adventures (1970) #30
Killraven	Amazing Adventures (1970) #31
Killraven	Amazing Adventures (1970) #32
Killraven	Amazing Adventures (1970) #33
Killraven	Amazing Adventures (1970) #34
Killraven	Amazing Adventures (1970) #35
Killraven	Amazing Adventures (1970) #36
Killraven	Amazing Adventures (1970) #37
Nocturne	Exiles (2001) #7
Nocturne	Exiles (2001) #8
Nocturne	Exiles (2001) #9
Nocturne	Exiles (2001) #10
Nocturne	Exiles (2001) #11
Nocturne	Exiles (2001) #14
Nocturne	Exiles (2001) #15
Nocturne	Exiles (2001) #16
Nocturne	Exiles (2001) #17
Nocturne	Exiles Vol. 3: Out of Time (Trade Paperback)
Nocturne	Exiles Vol. II: A World Apart (Trade Paperback)
Nocturne	New Excalibur (2005) #1
Nocturne	New Excalibur (2005) #8
Nocturne	New Excalibur (2005) #9
Nocturne	New Excalibur (2005) #11
Nocturne	New Excalibur (2005) #16
Nocturne	New Excalibur Vol. 1: Defenders of the Realm (Trade Paperback)
Nocturne	New Excalibur Vol. 2: Last Days of Camelot (Trade Paperback)
Nocturne	New Excalibur Vol. 3: Battle for Eternity (Trade Paperback)
Crusher Hogan (Ultimate)	Ultimate Spider-Man (2000) #3
Crusher Hogan (Ultimate)	Ultimate Spider-Man (2000) #4
Crusher Hogan (Ultimate)	Ultimate Spider-Man Ultimate Collection Book 1 (Trade Paperback)
Crusher Hogan (Ultimate)	Ultimate Spider-Man Vol. 1: Power & Responsibility (Trade Paperback)
Bullseye	Alpha Flight (1983) #34
Bullseye	Amazing Spider-Man (1999) #572
Bullseye	Amazing Spider-Man (1999) #647 (MCNIVEN VARIANT)
Bullseye	Civil War (2006) #5
Bullseye	Civil War (2006) #5 (TURNER VARIANT)
Bullseye	Civil War (2006) #5 (TURNER SKETCH VARIANT)
Bullseye	Daredevil (1998) #4
Bullseye	Daredevil (1998) #7
Bullseye	Daredevil (1998) #8
Bullseye	Daredevil (1998) #11
Bullseye	Daredevil (1998) #48
Bullseye	Daredevil (1998) #49
Bullseye	Daredevil (1963) #132
Bullseye	Daredevil (1963) #146
Bullseye	Daredevil (1963) #160
Bullseye	Daredevil (1963) #161
Bullseye	Daredevil (1963) #169
Bullseye	Daredevil (1963) #172
Bullseye	Daredevil (1963) #181
Bullseye	Daredevil (1963) #191
Storm	Age of Apocalypse: The Chosen (1995) #1
Storm	Alpha Flight (1983) #17
Storm	Alpha Flight (1983) #33
Storm	Alpha Flight (1983) #61
Storm	Alpha Flight (1983) #127
Storm	Astonishing X-Men (2004) #25
Storm	Astonishing X-Men (2004) #27
Storm	Astonishing X-Men (2004) #28
Storm	Astonishing X-Men (2004) #29
Storm	Astonishing X-Men (2004) #30
Storm	Astonishing X-Men (2004) #38
Storm	Astonishing X-Men (2004) #44
Storm	Astonishing X-Men (2004) #51
Storm	Astonishing X-Men (2004) #51 (Djurdjevic Variant)
Storm	Avengers (1998) #10
Storm	Avengers (1963) #267
Storm	Avengers Assemble (Hardcover)
Storm	Avengers VS X-Men (2012) #2
Storm	Avengers: Kang Time and Time Again (Trade Paperback)
Storm	Black Panther (2005) #18
M (Monet St. Croix)	X-Factor (2005) #1
M (Monet St. Croix)	X-Factor (2005) #13
M (Monet St. Croix)	X-Factor (2005) #13 (variant)
M (Monet St. Croix)	X-Factor (2005) #217
M (Monet St. Croix)	X-Factor (2005) #218
M (Monet St. Croix)	X-Factor (2005) #219
M (Monet St. Croix)	X-Factor Vol. 3: Many Lives of Madrox (Trade Paperback)
M (Monet St. Croix)	X-Factor: The Longest Night (Trade Paperback)
Storm (Ultimate)	Ultimate Marvel Team-Up (2001) #11
Storm (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (Trade Paperback)
Storm (Ultimate)	Ultimate War (2003) #2
Storm (Ultimate)	Ultimate War (2003) #3
Storm (Ultimate)	Ultimate War (2003) #4
Storm (Ultimate)	Ultimate X-Men (2000) #1
Storm (Ultimate)	Ultimate X-Men (2000) #2
Storm (Ultimate)	Ultimate X-Men (2000) #3
Storm (Ultimate)	Ultimate X-Men (2000) #4
Storm (Ultimate)	Ultimate X-Men (2000) #5
Storm (Ultimate)	Ultimate X-Men (2000) #6
Storm (Ultimate)	Ultimate X-Men (2000) #7
Storm (Ultimate)	Ultimate X-Men (2000) #8
Storm (Ultimate)	Ultimate X-Men (2000) #9
Storm (Ultimate)	Ultimate X-Men (2000) #10
Storm (Ultimate)	Ultimate X-Men (2000) #11
Storm (Ultimate)	Ultimate X-Men (2000) #12
Storm (Ultimate)	Ultimate X-Men (2000) #14
Storm (Ultimate)	Ultimate X-Men (2000) #15
Storm (Ultimate)	Ultimate X-Men (2000) #16
Human Robot	Agents of Atlas (Hardcover)
Human Robot	Agents of Atlas (2009) #1
Human Robot	Agents of Atlas (2009) #2
Human Robot	Agents of Atlas (2009) #2 (BACHALO 2ND PRINTING VARIANT)
Human Robot	Agents of Atlas (2009) #3
Human Robot	Agents of Atlas (2009) #4
Human Robot	Agents of Atlas (2009) #5
Human Robot	Agents of Atlas (2009) #5 (MCGUINNESS VARIANT)
Human Robot	Agents of Atlas (2006) #6
Human Robot	Captain America (2004) #26
Human Robot	Captain America: The Death of Captain America Vol. 1 (Trade Paperback)
Human Robot	Captain America: The Death of Captain America Vol. 1 Premiere (Hardcover)
Puck	Alpha Flight (1983) #1
Puck	Alpha Flight (1983) #2
Puck	Alpha Flight (2011) #4
Puck	Alpha Flight (1983) #5
Puck	Alpha Flight (1983) #11
Puck	Alpha Flight (1983) #12
Puck	Alpha Flight (1983) #13
Puck	Alpha Flight (1983) #14
Puck	Alpha Flight (1983) #15
Puck	Alpha Flight (1983) #16
Puck	Alpha Flight (1983) #32
Puck	Alpha Flight (1983) #33
Puck	Alpha Flight (1983) #34
Puck	Alpha Flight (1983) #50
Puck	Alpha Flight (1983) #52
Puck	Alpha Flight (1983) #61
Puck	Alpha Flight (1983) #88
Puck	Alpha Flight (1983) #89
Puck	Alpha Flight (1983) #110
Puck	Alpha Flight (1983) #111
Hitman	Amazing Spider-Man (1963) #174
Hitman	Amazing Spider-Man (1963) #175
Echo	Daredevil (1998) #9
Echo	Daredevil (1998) #11
Echo	Daredevil (1998) #12
Echo	Daredevil (1998) #13
Echo	Daredevil (1998) #14
Echo	Daredevil (1998) #15
Echo	Daredevil (1998) #17
Echo	Daredevil (1998) #51
Echo	Daredevil (1998) #52
Echo	Daredevil Vol. 8: Echo – Vision Quest (Trade Paperback)
Echo	Daredevil Vol. II: Parts of a Hole (Trade Paperback)
Echo	Daredevil Vol. III: Wake Up (Trade Paperback)
Echo	Mighty Avengers (2007) #8
Echo	Moon Knight (2010) #6
Echo	Moon Knight (2010) #7
Echo	New Avengers (2004) #11
Echo	New Avengers (2004) #12
Echo	New Avengers (2004) #13
Echo	New Avengers (2004) #31
Echo	New Avengers Vol. 3: Secrets & Lies (Trade Paperback)
Amphibian (Earth-712)	Squadron Supreme (2006) #1
Amphibian (Earth-712)	Squadron Supreme (2006) #2
Amphibian (Earth-712)	Squadron Supreme Vol. 1: The Pre-War Years Premiere (Hardcover)
PsyNapse	X-Factor (1986) #65
PsyNapse	X-Factor (1986) #66
PsyNapse	X-Factor (1986) #67
PsyNapse	X-Men (1991) #21
Agent Brand	Astonishing X-Men (2004) #19 (Variant)
Agent Brand	Astonishing X-Men (2004) #38
Agent Brand	Astonishing X-Men (2004) #40
Agent Brand	Astonishing X-Men (2004) #40 (I Am Captain America Variant)
Agent Brand	Heralds (Trade Paperback)
Shape	Avengers (1998) #5
Shape	Avengers (1998) #6
Shape	Avengers Assemble (Hardcover)
Shape	Squadron Supreme (2006) #1
